Series ID,Annual 1983,Annual 1984,Annual 1985,Annual 1986,Annual 1987,Annual 1988,Annual 1989,Annual 1990,Annual 1991,Annual 1992,Annual 1993,Annual 1994,Annual 1995,Annual 1996,Annual 1997,Annual 1998,Annual 1999,Annual 2000,Annual 2001,Annual 2002,Annual 2003,Annual 2004,Annual 2005,Annual 2006,Annual 2007,Annual 2008,Annual 2009,Annual 2010,Annual 2011,Annual 2012,Annual 2013,Annual 2014,Annual 2015,Annual 2016,Annual 2017,Annual 2018,Annual 2019,Annual 2020,Annual 2021,Annual 2022
LUU0204466800,88290,92194,94521,96903,99303,101407,103480,104876,103723,104668,106101,107989,110038,111960,114533,116730,118963,122089,122229,121826,122358,123554,125889,128237,129767,129377,124490,124073,125187,127577,129110,131431,133743,136101,137890,140099,141737,132174,136393,141673
LUU0203161800,17717,17340,16996,16975,16913,17002,16960,16776,16612,16418,16627,16748,16360,16269,16110,16211,16477,16334,16305,16145,15776,15472,15685,15359,15670,16098,15327,14715,14764,14366,14528,14576,14795,14555,14817,14744,14574,14253,14012,14285
LUU0204899600,20.1,18.8,18.0,17.5,17.0,16.8,16.4,16.0,16.0,15.7,15.7,15.5,14.9,14.5,14.1,13.9,13.9,13.4,13.3,13.3,12.9,12.5,12.5,12.0,12.1,12.4,12.3,11.9,11.8,11.3,11.3,11.1,11.1,10.7,10.7,10.5,10.3,10.8,10.3,10.1
LUU0203161900,20532,19932,19358,19278,19051,19241,19198,19105,18790,18578,18682,18850,18346,18158,17923,17918,18182,18153,18026,17695,17448,17087,17223,16860,17243,17761,16904,16290,16290,15922,16028,16152,16441,16271,16444,16380,16383,15939,15802,16002
LUU0204899700,23.3,21.6,20.5,19.9,19.2,19.0,18.6,18.2,18.1,17.7,17.6,17.5,16.7,16.2,15.6,15.4,15.3,14.9,14.7,14.5,14.3,13.8,13.7,13.1,13.3,13.7,13.6,13.1,13.0,12.5,12.4,12.3,12.3,12.0,11.9,11.7,11.6,12.1,11.6,11.3
LUU0204466700,71225(5),74931(5),77044(5),79091(5),80993(5),82741(5),84504(5),85493(5),84138(5),84917(5),85882(5),88163(5),90121(5),92059(5),94705(5),96590(5),98304(5),102828,102775,102153,102648,103584,105508,107846,108714,108073,103357,103040,104737,107191,108681,111228,113152,115417,116935,118968,120714,111542,115767,120356
LUU0203182000,11933(5),11647(5),11227(5),11051(5),10826(5),10674(5),10520(5),10271(5),9965(5),9744(5),9603(5),9620(5),9400(5),9385(5),9327(5),9280(5),9376(5),9219,9148,8800,8452,8205,8255,7981,8114,8265,7431,7092,7202,7037,7318,7359,7554,7435,7601,7578,7508,7080,7030,7223
LUU0204906600,16.8(5),15.5(5),14.6(5),14.0(5),13.4(5),12.9(5),12.4(5),12.0(5),11.8(5),11.5(5),11.2(5),10.9(5),10.4(5),10.2(5),9.8(5),9.6(5),9.5(5),9.0,8.9,8.6,8.2,7.9,7.8,7.4,7.5,7.6,7.2,6.9,6.9,6.6,6.7,6.6,6.7,6.4,6.5,6.4,6.2,6.3,6.1,6.0
LUU0203182100, , , , , , , , , , , , , , , , , ,10095,9973,9535,9264,8956,8962,8688,8870,9084,8226,7884,7969,7851,8128,8224,8411,8437,8494,8512,8562,8018,8055,8167
LUU0204906700, , , , , , , , , , , , , , , , , ,9.8,9.7,9.3,9.0,8.6,8.5,8.1,8.2,8.4,8.0,7.7,7.6,7.3,7.5,7.4,7.4,7.3,7.3,7.2,7.1,7.2,7.0,6.8
LUU0202851800,15618(5),15809(5),16050(5),16374(5),16841(5),17175(5),17476(5),17791(5),18010(5),18193(5),18691(5),18339(5),18342(5),18191(5),18147(5),18401(5),18938(5),19261,19454,19673,19710,19970,20381,20392,21053,21305,21133,21033,20450,20385,20429,20203,20591,20684,20956,21131,21023,20632,20626,21318
LUU0204922600,5735(5),5654(5),5740(5),5888(5),6055(5),6298(5),6422(5),6475(5),6614(5),6637(5),7000(5),7094(5),6926(5),6852(5),6747(5),6905(5),7058(5),7115,7157,7346,7324,7267,7430,7378,7557,7832,7896,7623,7562,7328,7210,7218,7241,7120,7216,7167,7066,7173,6982,7062
LUU0204922700,36.7(5),35.8(5),35.8(5),36.0(5),36.0(5),36.7(5),36.7(5),36.4(5),36.7(5),36.5(5),37.5(5),38.7(5),37.8(5),37.7(5),37.2(5),37.5(5),37.3(5),36.9,36.8,37.3,37.2,36.4,36.5,36.2,35.9,36.8,37.4,36.2,37.0,35.9,35.3,35.7,35.2,34.4,34.4,33.9,33.6,34.8,33.9,33.1
LUU0204922800, , , , , , , , , , , , , , , , , ,8058,8053,8160,8185,8131,8262,8172,8373,8676,8677,8406,8321,8072,7900,7927,8031,7834,7951,7868,7821,7921,7747,7835
LUU0204922900, , , , , , , , , , , , , , , , , ,41.8,41.4,41.5,41.5,40.7,40.5,40.1,39.8,40.7,41.1,40.0,40.7,39.6,38.7,39.2,39.0,37.9,37.9,37.2,37.2,38.4,37.6,36.8